_id,co2,temperatura,humedad,VPD,fecha,sensor,__v
652ae49196cc8d75252fb422,463,18.61694336,70.29724121,0.637459517,2023-10-14T13:57:21.043Z,650dc7d640e0be7842fc4239,0
652ae5bd96cc8d75252fb424,455,18.52348328,72.52044678,0.586306512,2023-10-14T14:02:21.041Z,650dc7d640e0be7842fc4239,0
652ae6e996cc8d75252fb426,455,18.65432739,73.19946289,0.57652092,2023-10-14T14:07:21.041Z,650dc7d640e0be7842fc4239,0
652ae81596cc8d75252fb428,454,18.697052,73.5244751,0.571053386,2023-10-14T14:12:21.043Z,650dc7d640e0be7842fc4239,0
652ae94196cc8d75252fb42a,457,18.66233826,73.87695313,0.562228739,2023-10-14T14:17:21.036Z,650dc7d640e0be7842fc4239,0
652aea6d96cc8d75252fb42c,454,18.70239258,73.88000488,0.563573062,2023-10-14T14:22:21.040Z,650dc7d640e0be7842fc4239,0
652aeb9996cc8d75252fb42e,452,18.64631653,74.05853271,0.557761431,2023-10-14T14:27:21.049Z,650dc7d640e0be7842fc4239,0
652aecc596cc8d75252fb430,451,18.73710632,74.12872314,0.559419513,2023-10-14T14:32:21.046Z,650dc7d640e0be7842fc4239,0
652aedf196cc8d75252fb432,451,18.71574402,74.45831299,0.551555634,2023-10-14T14:37:21.046Z,650dc7d640e0be7842fc4239,0
652aef1d96cc8d75252fb434,451,18.80386353,74.19586182,0.560300589,2023-10-14T14:42:21.038Z,650dc7d640e0be7842fc4239,0
652af04996cc8d75252fb436,455,18.85726929,74.52697754,0.554959297,2023-10-14T14:47:21.088Z,650dc7d640e0be7842fc4239,0
652af17596cc8d75252fb438,450,18.79852295,75,0.542658746,2023-10-14T14:52:21.040Z,650dc7d640e0be7842fc4239,0
652af2a196cc8d75252fb43a,450,18.98277283,74.5803833,0.558151603,2023-10-14T14:57:21.176Z,650dc7d640e0be7842fc4239,0
652af3cd96cc8d75252fb43c,450,18.90800476,74.34692383,0.560655355,2023-10-14T15:02:21.128Z,650dc7d640e0be7842fc4239,0
652af4f996cc8d75252fb43e,451,18.94271851,74.49493408,0.558629811,2023-10-14T15:07:21.043Z,650dc7d640e0be7842fc4239,0
652af62596cc8d75252fb440,455,18.93470764,74.45831299,0.559152246,2023-10-14T15:12:21.038Z,650dc7d640e0be7842fc4239,0
652af75196cc8d75252fb442,453,18.97476196,74.09820557,0.568454802,2023-10-14T15:17:21.039Z,650dc7d640e0be7842fc4239,0
652af87d96cc8d75252fb444,450,19.03884888,74.04022217,0.572009683,2023-10-14T15:22:21.040Z,650dc7d640e0be7842fc4239,0
652af9a996cc8d75252fb446,453,19.09759521,73.94866943,0.576133549,2023-10-14T15:27:21.039Z,650dc7d640e0be7842fc4239,0
652afad596cc8d75252fb448,453,19.11361694,73.81744385,0.579614222,2023-10-14T15:32:21.045Z,650dc7d640e0be7842fc4239,0
